State,FIPS,County,squarekm,squaremi,Latitude,Longitude,CS1971,CS1981,CS1991,CS2001,CS2011,CS2019,CH1971,CH1981,CH1991,CH2001,CH2011,CH2019,GE1971,GE1981,GE1991,GE2001,GE2011,GE2019,ME1971,ME1981,ME1991,ME2001,ME2011,ME2019,PG1971,PG1981,PG1991,PG2001,PG2011,PG2019,PN1971,PN1981,PN1991,PN2001,PN2011,PN2019,RE1971,RE1981,RE1991,RE2001,RE2011,RE2019,SB1971,SB1981,SB1991,SB2001,SB2011,SB2019,SY1971,SY1981,SY1991,SY2001,SY2011,SY2019,ZI1971,ZI1981,ZI1991,ZI2001,ZI2011,ZI2019
CA,6001,Alameda,1914.046,739.017,37.648,-121.913,16,39,223,344,879,974,153,115,787,602,653,635,0,0,0,0,0,0,0,2,68,143,358,333,0,0,0,5,9,9,82,76,0,0,33,36,33,17,0,0,0,0,117,116,177,69,55,68,0,0,0,27,175,165,156,35,56,151,142,134
CA,6003,Alpine,1912.272,738.332,38.618,-119.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,6005,Amador,1539.963,594.583,38.444,-120.654,9,62,40,83,201,313,0,26,29,54,45,46,0,0,0,0,0,0,0,6,0,26,26,28,0,0,0,0,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,258,230,47,54,44,0,1,11,201,204,221,385,1097,1165,1708,2037,1944
CA,6007,Butte,4238.423,1636.464,39.666,-121.602,0,337,65,66,72,45,0,30,0,0,0,0,0,0,0,0,0,0,0,2,6,24,5,0,0,0,0,0,1,2,0,15,0,0,13,2,0,0,0,0,0,0,0,50,0,0,1,1,0,0,0,0,23,14,2,85,0,65,42,23
CA,6009,Calaveras,2641.82,1020.012,38.188,-120.555,0,9,26,99,99,101,0,10,42,92,69,69,0,0,0,0,0,0,0,1,7,74,74,63,0,0,0,6,11,8,0,0,0,8,10,8,0,0,0,0,0,0,0,10,45,29,50,79,0,0,0,61,102,66,48,38,39,58,67,78
CA,6011,Colusa,2980.379,1150.731,39.178,-122.238,0,0,55,20,80,81,0,0,73,111,254,137,0,0,0,0,0,0,0,0,0,26,26,16,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,0,0,1054,1141,808,395
CA,6013,Contra Costa,1854.269,715.937,37.919,-121.952,0,0,18,12,32,45,0,0,8,404,555,275,0,0,0,0,0,0,0,0,0,133,124,97,0,0,0,0,154,70,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,121,91,43,0,0,6,45,69,69,507,361,298,427,389,401
CA,6015,Del Norte,2606.494,1006.373,41.750,-123.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,6017,El Dorado,4423.397,1707.883,38.786,-120.534,1,32,65,224,274,328,0,27,60,112,102,105,0,1,1,1,5,5,0,6,15,152,157,169,0,0,0,3,22,16,0,0,0,8,21,21,2,8,16,12,12,13,0,92,92,58,33,45,0,1,5,111,176,197,6,128,143,317,368,418
CA,6019,Fresno,15431.126,5957.991,36.761,-119.655,10,59,27,1629,1401,1109,0,127,266,2064,1565,2539,0,0,0,0,0,0,0,0,0,1481,1154,451,0,0,0,5,813,2000,0,40,0,0,8,111,0,0,0,0,0,1,0,15,3,0,20,41,0,0,0,990,1224,1135,200,182,530,2637,2753,3005
CA,6021,Glenn,3403.107,1313.947,39.603,-122.402,0,0,0,0,0,4,0,0,0,59,119,0,0,0,0,0,0,0,0,0,0,60,0,3,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,91,3,14,9,300,368,200,0
CA,6023,Humboldt,9241.045,3567.987,40.707,-123.926,0,0,0,0,21,17,0,0,0,2,5,5,0,0,0,0,0,0,0,0,0,1,23,22,0,0,0,1,1,3,0,0,0,5,24,36,0,0,0,1,1,1,0,0,0,0,2,3,0,0,0,0,16,13,0,0,0,0,5,1
